date,shift,dispatcher,daily_ore_fed,warehouse_2_status,crushed_ore_sst,ore_to_int_bunkers,int_bunkers_status,processed_ore_mfc,processed_ore_moisture,dry_processed_ore,granodiorites,dikes,schists,pulp_density,cu_content_in_ores,adjusted_cu_content_in_ores,cu_content_in_waste,cu_metal_in_waste,cu_metal_in_concentrate,tech_extraction,load_extraction,extracted_cu_concentrate,cu_concentrate_moisture,cu_metal_in_concentrate_chem,liter_weight_in_thickener,timestamp,original_sheet
16.01.2025,2,Георги Томов,19700.0,2.0,12985.0,14189.0,8.7,16784.0,0.078,15475,0.653,0.267,0.08,0.39,0.00266,0.0026082051437802,0.00032,4.952000000000001,36.058022,0.8809984162917909,0.8786296517587783,182.0,0.087,37.3541168,1.75,2025-01-16 14:00:00,Януари 
16.01.2025,3,Николинка Мутафова,13854.0,1.0,13516.0,15208.0,9.2,16720.0,0.075,15466,0.649,0.229,0.122,0.39,0.00266,0.002922410707358,0.00031,4.79446,41.5023045,0.884732529962051,0.8952472693747985,213.0,0.095,41.791452,1.75,2025-01-16 22:00:00,Януари 
17.01.2025,1,Димитър Цончев,5267.0,0.0,10603.0,12837.0,10.0,16375.0,0.081,15049,0.471,0.406,0.123,0.41,0.00256,0.0026140543624161,0.00031,4.66519,35.86150440000001,0.880144202371757,0.8826943400635746,179.0,0.091,34.16931,1.7,2025-01-17 06:00:00,Януари 
17.01.2025,2,Иванка Копаранска,20200.0,2.0,13059.0,14296.0,10.4,16164.0,0.08,14871,0.598,0.305,0.097,0.4,0.00238,0.0023734346849572,0.00029,4.31259,31.484328200000004,0.8793119362507321,0.8789932447445848,158.0,0.093,32.31550300000001,1.6,2025-01-17 14:00:00,Януари 
17.01.2025,3,Николинка Мутафова,15953.0,0.0,14581.0,15670.0,10.7,16510.0,0.077,15239,0.576,0.309,0.115,0.39,0.00259,0.0024965812454885,0.00029,4.41931,33.9582402,0.8892319931916967,0.8850484152213344,174.0,0.091,34.6541706,1.6,2025-01-17 22:00:00,Януари 
18.01.2025,1,Димитър Цончев,9831.0,0.0,12963.0,14849.0,11.0,16140.0,0.074,14946,0.617,0.224,0.159,0.39,0.0025,0.0025558477719791,0.0003,4.4838,34.2977517,0.8812121212121213,0.8838588600995325,173.0,0.091,34.6751685,1.6,2025-01-18 06:00:00,Януари 
18.01.2025,2,Иванка Копаранска,18600.0,0.0,14185.0,15600.0,10.6,15568.0,0.076,14385,0.629,0.259,0.112,0.39,0.00246,0.0025477664233576,0.0003,4.315499999999999,32.899776,0.8792745349510266,0.8835029980591143,168.0,0.09,32.670456,1.6,2025-01-18 14:00:00,Януари 
18.01.2025,3,Цвета Владова,15200.0,1.0,15800.0,16438.0,9.9,15605.0,0.073,14466,0.646,0.219,0.135,0.39,0.00253,0.0026036545831605,0.0003,4.339799999999999,34.7005296,0.8826437322763951,0.8860534637762287,176.0,0.091,33.2286768,1.65,2025-01-18 22:00:00,Януари 
19.01.2025,1,Георги Томов,12052.0,0.0,13743.0,15054.0,10.0,15593.0,0.078,14377,0.604,0.292,0.104,0.38,0.00239,0.0025697744452945,0.00031,4.45687,33.7215406,0.8715431340054186,0.880678132887083,173.0,0.098,32.4887772,1.75,2025-01-19 06:00:00,Януари 
19.01.2025,2,Иванка Копаранска,15977.0,2.0,13079.0,14756.0,10.3,15584.0,0.079,14353,0.565,0.334,0.101,0.39,0.00241,0.0025844816275343,0.0003,4.305899999999999,33.62446080000001,0.8767066215508651,0.8851525121854646,168.0,0.096,33.6548352,1.6,2025-01-19 14:00:00,Януари 
